6,9
7,6
3,11
0,13
10,14
2,11
9,5
0,14
-2,10
5,16

-1,-5
12,10
-209,27
7,25
37,17
-6,1
4,19
13,18
9,11
3,20

-2,3
9,21
-4,18
-4,22
8,18
11,18
5,18
10,21
5,15
31,15

0,0
6,21
4,18
-3,15
-1,11
11,5
9,15
-7,9
3,10
5,14

8,21
3,12
8,29
1,17
7,23
5,18
12,20
-8,17
4,21
9,21

0,0
6,21
10,6
9,9
6,20
-6,3
7,1
7,26
4,12
12,7

7,26
85,17
8,22
-2,15
33,23
2,23
9,7
11,6
2,3
4,23

8,19
10,4
-39,0
4,19
13,-12
8,24
-7,12
12,23
2,25
16,19

7,18
9,8
2,23
10,24
10,21
0,23
-4,43
-3,18
-3,19
-13,25

10,20
8,21
7,0
4,21
1,-7
1,19
-5,19
10,4
7,4
6,15

12,5
4,10
-1,19
6,16
4,19
1,26
1,18
4,14
8,8
6,18

16,4
9,9
3,2
2,10
11,25
7,12
4,18
2,21
140,21
10,18

5,0
2,13
8,13
6,20
9,20
-1,32
21,17
11,32
6,-132
-9,17

12,21
12,19
9,33
6,28
5,17
6,15
10,22
10,14
16,16
6,18

8,0
8,24
10,10
3,6
18,11
5,9
4,19
8,11
8,17
4,13

11,17
4,13
-11,11
0,15
3,26
2,17
-1,5
9,1
6,21
7,26

10,18
-3,6
6,4
3,17
13,16
4,26
33,7
6,17
7,18
-1,15

8,5
9,8
6,9
-3,53
1,8
12,2
6,17
0,1
-8,13
0,0

15,18
14,22
6,24
2,20
8,10
2,14
-13,9
0,8
9,3
8,17

5,4
6,75
7,6
7,24
11,19
2,6
4,20
9,3
5,0
-4,6

7,6
6,21
-1,27
10,21
-84,27
6,25
7,20
5,20
9,20
10,30

14,19
14,20
8,20
1,9
7,25
2,18
-83,13
14,28
28,4
11,19

10,22
3,15
12,2
6,8
18,16
0,1
8,12
2,9
8,13
7,22

9,7
15,7
21,7
11,6
14,3
16,8
1,3
18,17
4,2
9,3

9,3
7,23
-1,-3
20,9
-36,-29
5,8
32,19
10,10
11,0
3,7

4,13
4,2
-5,6
-2,13
11,0
10,9
12,6
5,3
0,8
6,-3

12,8
13,8
2,-2
-8,20
3,23
0,-1
15,21
7,6
-2,19
6,23

16,31
5,19
12,16
8,27
4,16
40,-18
4,23
3,30
10,19
-222,23

9,7
5,7
18,10
13,17
5,11
8,13
0,7
-2,11
4,13
6,4

9,8
3,15
-78,22
-52,18
6,17
6,16
